S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,AMBALA(1),VARUN CHAUDHRY,663657,49036
2,SIRSA(3),SELJA,733823,268497
3,HISAR(4),JAI PARKASH (J P) S/O HARIKESH,570424,63381
4,SONIPAT(6),SATPAL BRAHAMCHARI,548682,21816
5,ROHTAK(7),DEEPENDER SINGH HOODA,783578,345298
