S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,KURUKSHETRA(2),NAVEEN JINDAL,542175,29021
2,KARNAL(5),MANOHAR LAL,739285,232577
3,BHIWANI-MAHENDRAGARH(8),DHARAMBIR SINGH,588664,41510
4,GURGAON(9),RAO INDERJIT SINGH,808336,75079
5,FARIDABAD(10),KRISHAN PAL,788569,172914
