S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Dhubri (2),RAKIBUL HUSSAIN,1471885,1012476
2,Nagaon(9),PRADYUT BORDOLOI,788850,212231
3,Jorhat(14),GAURAV GOGOI,751771,144393
