S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Kishanganj(10),MOHAMMAD JAWED,402850,59692
2,Katihar(11),TARIQ ANWAR,567092,49863
3,Sasaram(34),MANOJ KUMAR,513004,19157
