S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Kakinada(6),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491
2,Machilipatnam(11),BALASHOWRY VALLABHANENI,724439,223179
