S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Araku (ST)(1),GUMMA THANUJA RANI,477005,50580
2,Kadapa(21),Y. S. AVINASH REDDY,605143,62695
3,Thirupathi(SC)(23),GURUMOORTHY MADDILA,632228,14569
4,Rajampet(24),P V MIDHUN REDDY,644844,76071
