S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,KANGRA(1),DR RAJEEV BHARDWAJ,632793,251895
2,MANDI(2),KANGNA RANAUT,537022,74755
3,HAMIRPUR(3),ANURAG SINGH THAKUR,607068,182357
4,SHIMLA(4),Suresh Kumar Kashyap,519748,91451
